name,symptoms
Лихорадка,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   покраснение кожи лица;
  </li>
  <li>
   головная боль, ломота в костях, немотивированное хорошее настроение (эйфория);
  </li>
  <li>
   дрожь, озноб, интенсивное потоотделение;
  </li>
  <li>
   чувство жажды;
  </li>
  <li>
   учащенное дыхание;
  </li>
  <li>
   плохой аппетит;
  </li>
  <li>
   спутанность сознания, бред (делирий), особенно у пожилых людей;
  </li>
  <li>
   у детей может также быть раздражительность, плач, проблемы с кормлением.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Иногда повышение температуры тела может сопровождаться другими симптомами, связанными с обострением хронических заболеваний.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Следует вызвать врача, если у детей младше 3 месяцев температура поднялась выше 37.5°С, если температура повышена более 24 ч.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  У детей в возрасте от 6 месяцев до 6 лет при высокой температуре иногда наблюдаются судороги. Если у вашего ребенка такие судороги, следите за тем, чтобы он не поранился, уберите все опасные предметы рядом с ним и удостоверьтесь, что он свободно дышит.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если у детей повышенная температура сопровождается судорогами, ригидностью затылочных мышц, сыпью, если при повышенной температуре отмечаются боли в животе, то следует немедленно обратиться за медицинской помощью.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если температура сопровождается отеком и болями в суставах; а также сыпью, особенно темно-красного цвета или в виде больших волдырей, то следует срочно обратиться к врачу. При возникновении сопутствующих симптомов: кашель с желтоватой или зеленоватой мокротой, сильная головная боль, боль в ушах, спутанность сознания, сильная раздражительность, сухость во рту, боль в животе, сыпь, сильная жажда, сильная боль в горле, болезненное мочеиспускание и рвота, следует также вызвать врача. При повышении температуры тела у беременной женщины, также следует обратиться к врачу.
 </p>
</div>
"
Нарушение временной адаптации,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При смене часовых поясов человек может испытывать головную боль, усталость, сонливость, раздражительность, беспричинный страх, снижение способности к концентрации внимания, затруднения с принятием решений, потеря аппетита и тошнота, запор, потливость, обезвоживание, проблемы с засыпанием, небольшие проблемы с координацией движений, иногда нарушения памяти.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Некоторые люди свидетельствуют о дополнительных симптомах, таких как дрожь и повышенная болевая чувствительность.
 </p>
</div>
"
Неприятный запах от тела,
Обезвоживание,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Чувство жажды не является нормальным средством определения обезвоживания организма. Если вы очень хотите пить, это значит, что в организме уже не хватает жидкости. Более правильным индикатором уровня обезвоживания является цвет и количество мочи. Если мочи немного и она темно-желтого цвета, это значит, что в организме не хватает запасов жидкости и необходимо их восполнить.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Первые признаки обезвоживания:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   интенсивное потоотделение, связанное с физической нагрузкой или высокой температурой;
  </li>
  <li>
   небольшое количество мочи, сильная жажда, сухость во рту;
  </li>
  <li>
   темные круги под глазами;
  </li>
  <li>
   снижение активности у детей;
  </li>
  <li>
   переутомление у взрослых.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если процесс прогрессирует, то следует обратиться за медицинской помощью. Более серьезные признаки обезвоживания:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   спутанность сознания;
  </li>
  <li>
   слабость;
  </li>
  <li>
   обморок;
  </li>
  <li>
   недостаточная эластичность кожи (кожа медленно возвращается в нормальное положение, если ее сдавить или ущипнуть) .
  </li>
 </ul>
</div>
"
Педикулез,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Сильный зуд на коже головы и шеи, вызываемый определенным веществом, которое выделяют вши. Ребенок, страдающий от педикулеза, постоянно сильно чешет голову, на коже могут появиться следы расчесов и раздражение.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Красные следы от укусов обычно видны на коже головы и на шее, часто заметны за ушами.
  <br/>
  На волосах заметны очень маленькие блестящие белые крупинки (яйца), похожие на перхоть. Но в отличие от перхоти, которую можно стряхнуть с головы, яйца вшей очень плотно прилипают к волосам.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При тяжелой форме педикулеза лимфатические узлы за ушами могут быть увеличены.
 </p>
</div>
"
Проблемы со стопами,
Простудные заболевания,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Грипп обычно начинается внезапно с высокой лихорадки, и состояние людей чаще всего настолько ухудшается, что они сразу стараются прилечь. Симптомы ОРВИ появляются обычно медленнее и ограничиваются местными проявлениями в носоглотке. При гриппе возникает раздражение в горле или боль, сухой кашель, озноб с дрожью, потливость, ломоту в мышцах и теле.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Симптомы ОРВИ включают чиханье, кашель, боль в горле, заложенность носа или насморк. Если температура тела и повышается, то умеренно. В большинстве случаев ОРВИ проходит в течение 5-7 дней, хотя кашель может сохраняться еще 1-2 недели. Отделяемое из носа зеленого или желтого цвета указывает на то, что иммунная система активно борется с инфекцией.
 </p>
</div>
"
Укачивание (морская болезнь),
Бурсит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   боль, воспаление, отёк в области сустава, особенно при растяжении или разминании во время тренировочных упражнений,
  </li>
  <li>
   ограниченный объём движений, сопровождающийся резкой болью, или без неё,
  </li>
  <li>
   покраснение кожи и локальное повышение температуры над областью сустава.
  </li>
 </ul>
</div>
"
Вывих плеча,
Вывихи локтевого сустава,
Кокцигодиния,
Компрессионный перелом позвоночника,
Локоть теннисиста,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  С внешней стороны локтя чувствуется сильная боль, которая может распространиться в область предплечья или запястья. Боль может также ощущаться при вытягивании запястья (т.е. при движении тыльной стороны руки к предплечью).
 </p>
</div>
"
Плоскостопие,
Синдром запястного канала,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Диагностика основана на анализе движения, что провоцирует возникновение симптомов, если имеется сдавливание срединного нерва в области запястного канала. О наличии синдрома запястного канала свидетельствуют положительные тесты Тинеля (легкое постукивание над местом прохождения срединного нерва в области запястья, сопровождающееся ощущением покалывания в пальцах и на ладони) и Фалена (при максимальном сгибании в области запястья примерно в течение 3 мин возникает легкая болезненность и покалывание на ладонной поверхности большого, указательного, среднего и частично — безымянного пальцев).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В начальной стадии симптомы возникают и носят неопределенный болезненный характер в течение нескольких месяцев. При их первом появлении они не вызывают подозрений, и медицинская помощь требуется только тогда, когда они становятся более выраженными. Симптомы становятся постоянными и характеризуются тяжелыми болями. При отсутствии лечения происходит постепенное ослабление и истощение мышц большого пальца.
 </p>
</div>
"
Сотрясение головного мозга,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Во время травмы человек обычно теряет сознание, но не более чем на 5 минут. Часто пострадавший не может вспомнить события, которые произошли непосредственно перед травмой.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Возникает головная боль, головокружение, тошнота и рвота, бледность, учащенное дыхание, повышенная сонливость. Особенно опасно, когда пострадавший засыпает, и во время сна происходит рвота — попадание рвотных масс в дыхательные пути может привести к удушению и гибели. Артериальное давление и температура тела при сотрясении головного мозга, в отличие от более тяжелых травм головы, не изменены. Пострадавший испытывает болезненные ощущения от яркого света и громкого шума.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Эти признаки могут сохраняться в течение 7-12 дней, в зависимости от возраста и состояния здоровья. Все это время пострадавший должен находиться в стационаре под наблюдением.
 </p>
</div>
"
Спортивные травмы нижних конечностей,
Тендинит ахиллова сухожилия,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   болевые ощущения вдоль сухожилия, обычно ближе к пятке;
  </li>
  <li>
   припухлость в области сухожилия с локальной гипертермией кожных покровов, их покраснением и повышенной чувствительностью;
  </li>
  <li>
   боль при вставании на мыски и прыжках на пальцах ног. Если вы не можете встать на мыски, возможно, у вас разрыв сухожилия. Это требует неотложной медицинской помощи;
  </li>
  <li>
   болезненные ощущения в течение первых нескольких минут ходьбы утром;
  </li>
  <li>
   ограничение подвижности лодыжки.
  </li>
 </ul>
</div>
"
Травмы живота,
"Травмы шеи, шейно-лопаточный синдром","<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Травмы шеи бывают различными, и все они имеют разную степень тяжести. Различают следующие основные виды повреждений:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   Ушиб без повреждения внутренних органов. Наиболее легкий вид травмы. Возникает боль, синяк, движения ограничены из-за болезненности.
  </li>
  <li>
   Повреждения мышц шеи: ушиб, растяжение, разрыв. Проявляется в виде боли и нарушения движений.
  </li>
  <li>
   Повреждения шейного отдела позвоночника: перелом, подвывих шейного позвонка, компрессионный перелом. Возникает боль, нарушение движений. Шея может быть деформирована. При сильной травме с повреждением спинного мозга наступает полный или частичный паралич всего тела ниже шеи.
  </li>
  <li>
   Повреждения гортани и трахеи. При этом по ним перестает проходить воздух, наступает удушье. Пострадавший не дышит, его лицо становится одутловатым и синюшным.
  </li>
  <li>
   Повреждение пищевода. Возникает боль, которая усиливается при глотании. Из раны выделяется слюна, принятая пища. Шея утолщается, на ней появляется припухлость. Впоследствии температура тела повышается до 39⁰С, состояние больного резко ухудшается.
  </li>
  <li>
   Повреждение щитовидной железы. Сразу эта травма не проявляется: она проявляется впоследствии в виде снижения функции железы – гипотиреоза.
  </li>
  <li>
   Повреждение крупных сосудов шеи. Возникает сильное кровотечение. Пострадавший теряет сознание, так как кровь перестает поступать к головному мозгу. Если кровотечение не остановить сразу, то высока вероятность гибели.
  </li>
 </ul>
</div>
"
Аденома предстательной железы,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   для опорожнения мочевого пузыря необходимо напряжение брюшного пресса;
  </li>
  <li>
   мочеиспускание становится более продолжительным, моча вытекает вялой, тонкой струей;
  </li>
  <li>
   ближе к концу мочеиспускания моча выделяется прерывисто.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На более поздних стадиях, когда в мочевом пузыре из-за неполного опорожнения скапливается остаточная моча, присоединяются следующие симптомы:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   необходимость в ночном мочеиспускании, часто по несколько раз;
  </li>
  <li>
   частые позывы и неспособность удерживать мочу при появлении позыва;
  </li>
  <li>
   постоянное подтекание мочи;
  </li>
  <li>
   болезненная эякуляция;
  </li>
  <li>
   процесс мочеиспускания становится все более мучительным, моча выделяется по каплям.
  </li>
 </ul>
</div>
"
"Баланит, баланопостит, фимоз",
Варикоцеле,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Больного, страдающего варикоцеле, редко что‐то беспокоит. Иногда возникает боль и тяжесть в половине мошонки. В большинстве же случаев какие‐либо ощущения отсутствуют. В зависимости от растяжения вен, выделяют три степени варикоцеле:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   При I степени расширенную вену может выявить только хирург во время ощупывания мошонки. Обычно это происходит во время очередного профилактического осмотра.
  </li>
  <li>
   При II степени расширенная вена видна внешне.
  </li>
  <li>
   При III степени яичко уменьшается в размерах, в соответствующей половине мошонки возникает отек, она начинает свисать немного ниже, чем здоровая.
  </li>
 </ul>
</div>
"
Гидронефроз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Проявления заболевания зависят от того, насколько быстро развивается гидронефроз и насколько выражено нарушение оттока мочи. Острый гидронефроз развивается быстро. Например, причиной может быть мочевой камень, который попал из почечной лоханки в мочеточник. При этом возникают сильные боли в пояснице, которые отдают в пах, в область половых органов, в ногу. Мочеиспускания становятся частыми и болезненными. В моче обнаруживаются примеси крови.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Появляется тошнота, рвота. Если острый гидронефроз обусловлен почечным камнем, то боли очень сильные, развивается почечная колика. Требуется экстренная помощь врача.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При хроническом гидронефрозе симптомы развиваются постепенно. Длительное время больного вообще ничего не беспокоит. Затем возникают периодические тупые боли в области поясницы. Их могут провоцировать интенсивные физические нагрузки или большое количество выпитой жидкости. Повышается утомляемость, больной хуже переносит физические нагрузки.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если заболевание развивается у ребенка, то он начинает отставать в росте. Периодически повышается артериальное давление. В моче появляются примеси крови.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Пациенты с гидронефрозом предпочитают спать на животе: в таком положении при большинстве заболеваний, являющихся причинами гидронефроза, уменьшается чувство дискомфорта, улучшается отток мочи.
 </p>
</div>
"
Гломерулонефрит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Клиническими признаками гломерулонефрита являются повышение артериального давления, отеки, уменьшение объема выделяемой за сутки мочи (олигурия). При появлении подобных симптомов следует незамедлительно обратиться к врачу. Особенно пристально следует контролировать свое состояние после перенесенных инфекций стрептококковой этиологии (ангина, кожное импетиго).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При лабораторных исследованиях мочи обнаруживают протеинурию (белок в моче) и гематурию (эритроциты в моче) разной степени выраженности, цилиндрурию. В биохимическом анализе крови обнаруживается диспротеинемия (нарушение соотношения белковых фракций), иногда гиперлипидемия и часто гиперазотемия.
 </p>
</div>
"
Камни в почках,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Обычно первым симптомом заболевания является острая колющая боль в спине (в области больной почки) или в нижней части живота. Боль может распространиться в паховую область, а также сопровождаться тошнотой и рвотой. Боль будет длиться до тех пор, пока камень не выйдет с мочой, потому что мышечная стенка мочеточника будет пытаться вытолкнуть его наружу. Следствием повреждения слизистой оболочки мочевыводящих путей может стать наличие крови в моче (видимой или невидимой для глаза). Спускаясь к мочевому пузырю, камень будет вызывать сильные позывы к мочеиспусканию и жжение при мочеиспускании. «Выход» почечных камней (
  <strong>
   почечная колика
  </strong>
  ) может сопровождаться также лихорадкой с ознобом.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При наличии перечисленных симптомов (боль в спине или боку, боль в нижней части живота, тошнота и рвота, боль в паху, сильные позывы к мочеиспусканию или жжение при мочеиспускании) вам необходимо срочно обратиться к врачу или вызвать врача на дом. Если подобные симптомы появились у вас на фоне уже имеющегося хронического заболевания мочевыводящей системы, вам также нужно вызвать врача. В случае появления лихорадки или кровотечений вам, возможно, потребуется госпитализация.
 </p>
</div>
"
Киста почки,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Поликистоз почек не проявляется никакими симптомами в течение длительного времени. Чем раньше больного начинают беспокоить проявления, тем хуже прогноз. Возникают тупые боли в пояснице, повышается артериальное давление, количество мочи увеличивается, а ее плотность снижается, она становится более прозрачной.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Если эти симптомы появляются у маленького ребенка, то очень скоро присоединяется инфекция (пиелонефрит), сильно нарушается функция почек. При этом боли усиливаются, повышается температура тела, уменьшается количество мочи. Губчатая почка не имеет симптомов. Они появляются при развитии осложнений: мочекаменной болезни, пиелонефрита.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При мультикистозной дисплазии одной почки симптомы отсутствуют, так как вторая, здоровая, может полностью справиться со своей функцией. Но со временем патологически измененная почка часто увеличивается в размерах, сдавливает сосуды, внутренние органы. Это может проявляться в виде болей, вздутия живота, запоров и пр.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Многокамерная киста не имеет симптомов. Ее осложнениями, так же, как и при других видах кист, могут быть мочекаменная болезнь и пиелонефрит.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Одиночная киста почки обычно имеет размеры не более 10 см. Отмечаются тупые боли в области поясницы, в моче периодически появляются примеси крови. Наиболее распространенные осложнения: нагноение кисты, пиелонефрит, повышение артериального давления.
 </p>
</div>
"
Мужское бесплодие,
Мужской климакс,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Возможные проявления климакса включают сердцебиение, «приливы» с покраснением кожи лица, рук, головокружение, которые возникают чаще и проявляются сильнее при психо-эмоциональных и физических нагрузках. В некоторых случаях отмечаются перепады артериального давления, которые могут привести к развитию артериальной гипертензии.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  До 90% мужчин отмечают нарушение и снижение полового влечения (либидо), эректильную дисфункцию (при этом потенция может снижаться постепенно), у некоторых мужчин происходит ускоренная эякуляция и укорочение длительности полового акта, при этом, как правило, угасание половой функции сопровождается выраженными эмоциональными переживаниями. Снижается объем спермы и количество сперматозоидов.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Из-за нарушения продукции мужских гормонов изменяется внешний вид человека: появляется дряблость кожи и мышц, происходит отложение жира в области ягодиц и бедер, возможно увеличение грудных желез (гинекомастия).
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Выраженность симптомов различна. Продолжительность
  <strong>
   климакса
  </strong>
  составляет от 2 до 5 лет.
 </p>
</div>
"
Нарушения мочеиспускания,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   частые или сильные
   <strong>
    позывы к мочеиспусканию
   </strong>
   , особенно в ночное время,
  </li>
  <li>
   ощущение жжения при мочеиспускании,
  </li>
  <li>
   розовый или красный цвет мочи (присутствие крови),
  </li>
  <li>
   напряжение в нижней части живота,
  </li>
  <li>
   мутная моча с неприятным запахом.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Иногда нарушения мочеиспускания клинически не проявляются, но диагностируются при лабораторных исследованиях.
 </p>
</div>
"
Нефроптоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В развитии нефроптоза различают три стадии.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На
  <strong>
   1 стадии
  </strong>
  опущенную почку можно прощупать через переднюю брюшную стенку на вдохе, на выдохе почка уходит в подреберье (в норме почку можно прощупать только у очень худых людей, у всех остальных она не пальпируется). В это время могут появляться ноющие, тянущие боли в пояснице с одной стороны в положении стоя. В положении больного лежа боли исчезают.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На
  <strong>
   2 стадии
  </strong>
  в вертикальном положении пациента уже вся почка выходит из подреберья, но в положении лежа возвращается в подреберье, или же ее можно безболезненно вправить рукой. Боли в поясничной области становятся сильнее, могут распространяться на весь живот. Боли усиливаются при физической нагрузке и исчезают в положении лежа после того, как почка возвращается на место.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  На
  <strong>
   3 стадии
  </strong>
  почка полностью выходит из подреберья в любом положении тела и может сместиться в малый таз. Больные отмечают постоянные боли в животе, отдающие в поясницу. Боли не проходят в положении лежа, усиливаются при физическом напряжении. В моче после физических нагрузок может появляться кровь.
 </p>
</div>
"
Орхит и эпидидимит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  По своему течению орхит бывает острым и хроническим. Острый орхит, как правило, вызывается острым воспалительным заболеванием, хронический — хроническим.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Эпидидимит также бывает острым и хроническим.
 </p>
</div>
"
Патологические изменения спермы,
Пиелонефрит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Клиническая картина острого или обострения хронического пиелонефрита, как правило, разворачивается быстро, в течение нескольких часов. Характерна лихорадка до 38-39°С с ознобом, головной болью, ломотой в мышцах. Через некоторое время присоединяется болезненность в поясничной области.
 </p>
</div>
"
Почечная недостаточность,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   небольшое количество мочи (олигурия);
  </li>
  <li>
   полное отсутствие (анурия).
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Состояние пациента ухудшается, это сопровождается тошнотой, рвотой, поносом, отсутствием аппетита, Возникают отеки конечностей, увеличивается в объеме печень. Больной может быть заторможен или наоборот наступает возбуждение.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В клиническом течении острой почечной недостаточности различают несколько стадий:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   I стадия
  </strong>
  — начальная (симптоматика, обусловленная прямым воздействием причины, вызвавшей острую почечную недостаточность), длится от момента воздействия основной причины до первых симптомов со стороны почек имеет различную продолжительность (от нескольких часов до нескольких дней). Может появится интоксикация (бледность, тошнота, боли в животе);
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   II стадия
  </strong>
  — олигоанурическая (основной признак — олигурия или полная анурия, также характерно тяжелое общее состояние больного, возникновение и бурное накопление в крови мочевины и других конечных продуктов обмена веществ белков, вызывающее самоотравление организма, проявляющееся заторможенностью, адинамией, сонливостью, поносом, артериальной гипертонией, тахикардией, отеками тела, анемией, печеночной недостаточностью, причем одним из характерных признаков являются прогрессивно нарастающая азотемия - повышенное содержание в крови азотистых (белковых) продуктов обмена и тяжелая интоксикация организма);
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   III стадия
  </strong>
  — восстановительная:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   фаза раннего диуреза — клиника такая же, как и во II стадии;
  </li>
  <li>
   фаза полиурии (увеличенное образование мочи) и восстановления концентрационной способности почек - нормализуются почечные функции, восстанавливаются функции дыхательной и сердечно-сосудистой систем, пищеварительного канала, аппарата опоры и движения, ЦНС; стадия продолжается около двух недель;
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   IV стадия
  </strong>
  — выздоровление — анатомо-функциональное восстановление почечной деятельности до исходных параметров. Может затянуться на много месяцев, иногда требуется до одного года.
 </p>
</div>
"
